,sentence,entities,country_entities
0,Key events of the   th century   WikipediaJump to contentMain menuMain menumove to sidebarhide  Navigation Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usDonate  Contribute HelpLearn to editCommunity portalRecent changesUpload fileSearchSearchAppearanceCreate accountLog inPersonal tools Create account Log in  Pages for logged out editors learn moreContributionsTalkContentsmove to sidebarhide Top  Historic events in the   th centuryToggle Historic events in the   th century subsection   The world at the beginning of the century      The war to end all wars   World War I                 The Russian Revolution and Communism   Between the wars     Economic depression     The rise of dictatorship   Global war  World War II                 The war in Europe     Blitzkrieg     Operation Barbarossa     Turning tides     Operation Overlord     Final days     The war in the Pacific       Background     Japanese Expansion     ,"['WikipediaJump', 'Navigation Main', 'Contribute HelpLearn', 'the beginning of the century', 'World War I                 The Russian Revolution and Communism', 'World War II                 The war', 'Europe', 'the Pacific       Background     Japanese Expansion']",[]
1,Allied offensive      Final days      ,[],[]
2,The Holocaust      The Nuclear Age begins   The post war world     The end of empires  decolonization     The Cold War                 War by proxy     The space race     ,"['The Holocaust      The Nuclear Age', 'The Cold War                 War']",[]
3,The end of the Cold War     Information and communications technology   The world at the end of the century See also References Sources External linksToggle the table of contentsKey events of the   th century  languages                 Edit linksArticleTalkEnglishReadEditView historyToolsToolsmove to sidebarhide  Actions ReadEditView,"['the Cold War     Information', 'the end of the century', 'References Sources External']",[]
4,history  General,[],[]
5,What links hereRelated changesUpload fileSpecial pagesPermanent linkPage,[],[]
6,informationCite this pageGet shortened URLDownload QR codeWikidata item  Print export Download as PDFPrintable version  In other projects Wikimedia CommonsAppearancemove to sidebarhideFrom Wikipedia  ,"['URLDownload', 'Download as PDFPrintable', 'Wikimedia CommonsAppearancemove', 'Wikipedia']",[]
7,the free encyclopediaThe   th century changed the world in unprecedented ways  The World Wars sparked tension between countries and led to the creation of atomic bombs  the Cold War led to the Space Race and the creation of space based rockets  and the World Wide Web was created  These advancements have played a significant role in citizens  lives and shaped the   st century into what it is today Historic events in the   th century edit The world at the beginning of the century edit Main article  ,"['The World Wars', 'the Cold War', 'the Space Race', 'the World Wide Web', 'the   st century', 'Historic', 'the beginning of the century']",[]
8,Edwardian eraThe new beginning of the   th century marked significant changes  The     s saw the decade herald a series of inventions  including the automobile  airplane and radio broadcasting From      to       the First World War  and its aftermath  caused major changes in the power balance of the world  destroying or transforming some of the most powerful empires  The war to end all wars   World War I             edit Main article  World War IArrest of a suspect in Sarajevo following the Assassination of Archduke Franz FerdinandThe First World War  or simply WWI   termed  The Great War  by contemporaries  started in      and ended in       The war and by extension the century as a whole was ignited by the Assassination in Sarajevo of the Austro Hungarian Empire s heir to the throne  Erzherzog Franz Ferdinand  by Gavrilo Princip of the organization  Young Bosnia   Bosnian Serbs  liberation movement  ,"['Edwardian', 'the decade', 'the First World War', 'World War I             ', 'World War IArrest', 'Sarajevo', 'the Assassination of Archduke Franz FerdinandThe First World War', 'The Great War', 'the century', 'Sarajevo', 'the Austro Hungarian Empire', 'Gavrilo Princip', 'Young Bosnia', 'Bosnian Serbs']",[]
9,This was similar to how the      was the inciting incident of the   st century     Bound by Slavic nationalism to help the small Serbian state  the Russians came to the aid of the Serbs when they were attacked  Interwoven alliances  an increasing arms race  and old hatreds dragged Europe into the war     The Allies  known initially as  The Triple Entente   comprised the British Empire  France  and Russia  Germany  Austria Hungary  Bulgaria  and later the Ottoman Empire  were known as  The Central Powers        In       Russia ended hostile actions against the Central Powers after the fall of the Tsar  The Bolsheviks negotiated the Treaty of Brest Litovsk with Germany  although it was a huge cost to Russia  ,"['Slavic', 'Serbian', 'Russians', 'Serbs', 'Interwoven', 'Europe', 'The Triple Entente', 'the British Empire', 'France', 'Russia', 'Germany', 'Austria Hungary', 'Bulgaria', 'the Ottoman Empire', 'The Central Powers        ', 'Russia', 'the Central Powers', 'Tsar', 'the Treaty of Brest Litovsk', 'Germany', 'Russia']","['France', 'Russia', 'Germany', 'Bulgaria', 'Russia', 'Germany', 'Russia']"
