,source,target,value
0,France,Russia,1
1,Germany,Russia,1
2,Bulgaria,Germany,1
3,Bulgaria,Russia,1
4,Germany,Yugoslavia,1
5,Czechoslovakia,Yugoslavia,1
6,Germany,Italy,1
7,Austria,Germany,1
8,Czechoslovakia,Germany,1
9,Czechoslovakia,Spain,1
10,Czechoslovakia,France,1
11,France,Poland,1
12,France,Germany,1
13,Germany,Poland,1
14,Estonia,Germany,1
15,Estonia,Latvia,1
16,Latvia,Lithuania,1
17,Finland,Lithuania,1
18,Finland,Germany,1
19,Belgium,Poland,1
20,Belgium,Netherlands,1
21,Luxembourg,Netherlands,1
22,Belgium,Luxembourg,1
23,Belgium,Denmark,1
24,Denmark,Norway,1
25,Denmark,Sweden,1
26,Germany,Sweden,1
27,France,Italy,1
28,Greece,Italy,1
29,Germany,Greece,1
30,Greece,Yugoslavia,1
31,Albania,Greece,1
32,Albania,Yugoslavia,1
33,Greece,Ukraine,1
34,Belarus,Ukraine,1
35,Belarus,Libya,1
36,Egypt,Libya,1
37,Egypt,Iraq,1
38,Iraq,Japan,1
39,Germany,Japan,1
40,Japan,Russia,1
41,Germany,Morocco,1
42,Algeria,Morocco,1
43,Algeria,Italy,1
44,China,Japan,1
45,Italy,Japan,1
46,Japan,Thailand,1
47,Singapore,Thailand,1
48,Japan,Singapore,1
49,Burma,Japan,1
50,Burma,Philippines,1
51,Australia,Philippines,1
52,Australia,Japan,1
53,India,Japan,1
54,Japan,Poland,1
55,China,France,1
56,China,India,1
57,India,Pakistan,1
58,Israel,Pakistan,1
59,Israel,South Africa,1
60,Israel,Libya,1
61,Iran,Libya,1
62,Germany,Iran,1
63,France,Japan,1
64,Pakistan,Philippines,1
65,Laos,Philippines,1
66,Cambodia,Laos,1
67,Cambodia,Kenya,1
68,Ghana,Kenya,1
69,Ghana,Seychelles,1
70,France,Seychelles,1
71,France,Latvia,1
72,Estonia,Lithuania,1
73,Finland,Romania,1
74,Romania,Yugoslavia,1
75,Albania,Bulgaria,1
76,Bulgaria,Poland,1
77,Poland,Romania,1
78,Czechoslovakia,Romania,1
79,Czechoslovakia,Hungary,1
80,Hungary,Mongolia,1
81,China,Mongolia,1
82,China,Cuba,1
83,Canada,Cuba,1
84,Australia,Canada,1
85,Australia,Vietnam,1
86,Cambodia,Vietnam,1
87,Cuba,Vietnam,1
88,Cuba,Russia,1
89,Japan,Lithuania,1
90,Lithuania,Russia,1
91,Austria,Yugoslavia,1
92,Austria,Poland,1
93,Denmark,Poland,1
94,Greece,Norway,1
95,Japan,Philippines,1
96,Germany,India,1
97,Afghanistan,Philippines,1
98,Afghanistan,Romania,1
99,Romania,Russia,1
100,Russia,Vietnam,1
101,China,Lebanon,1
102,India,Singapore,1
