,sentence,entities
0,"  Key    events    of   th    century    -    WikipediaJump    to    contentMain    menuMain    menumove    to    sidebarhide    Navigation    Main    pageContentsCurrent    eventsRandom    articleAbout    WikipediaContact    usDonate    Contribute    HelpLearn    to    editCommunity    portalRecent    changesUpload    fileSearchSearchAppearanceCreate    accountLog    inPersonal    tools    Create    account    Log    in    Pages    for    logged    out    editors    learn    moreContributionsTalkContentsmove    to    sidebarhide         Top        Historic    events    in   th    centuryToggle    Historic    events    in   th    century    subsection1.1The    world    at    beginning    of    century1.1.1   ""  ""   war    to    end    all    wars   ""  ""   :    World    War    I        –1918        .1.2The    Russian    Revolution    and    Communism1.2Between    wars1.2.1Economic    depression1.2.2The    rise    of    dictatorship1.3Global    war    :    World    War    II        –1945        .3.1The    war    in    Europe1.3.2Blitzkrieg1.3.3Operation    Barbarossa1.3.4Turning    tides1.3.5Operation    Overlord1.3.6Final    days1.3.7The    war    in    Pacific1.3.7.1Background1.3.8Japanese    Expansion1.3.9Allied    offensive1.3.10Final    days1.3.11The    Holocaust1.3.12The    Nuclear    Age    begins1.4The    post-war    world1.4.1The    end    of    empires    :    decolonization1.4.2The    Cold    War        –1991        .4.3War    by    proxy1.4.4The    space    ","['Navigation    Main    pageContentsCurrent    ', 'Contribute    HelpLearn', 'Log    in    Pages    for    ', '1945', 'Pacific1.3.7.1Background1.3.8Japanese', '1991']"
1,race1.4.5The    end    of    Cold    War1.4.6Information    and    communications    technology1.5The    world    at    end    of    century2See    also3References4Sources5External    linksToggle    table    of    contentsKey    events    of   th    century2    languagesالعربيةУкраїнськаEdit    linksArticleTalkEnglishReadEditView    historyToolsToolsmove    to    sidebarhide    Actions    ReadEditView    history    General    What    links    hereRelated    changesUpload    fileSpecial    pagesPermanent    linkPage    ,[]
2,informationCite    this    pageGet    shortened    URLDownload    QR    codeWikidata    item    Print/export    Download    as    PDFPrintable    version    In    other    projects    Wikimedia    CommonsAppearancemove    to    sidebarhideFrom    Wikipedia         free    encyclopediaThe   th    century    changed    world    in    unprecedented    ways    .    ,"['URLDownload    QR    ', 'PDFPrintable']"
3,World    Wars    sparked    tension    between    countries    and    led    to    creation    of    atomic    bombs         Cold    War    led    to    Space    Race    and    creation    of    space-based    rockets         and    World    Wide    Web    was    created    .    ,[]
4,"These    advancements    have    played    a    significant    role    in    citizens   "" ""   lives    and    shaped   st    century    into    what    it    is    today.",['today']
5,Historic    events    in   th    century         edit         world    at    beginning    of    century         edit         Main    article    :    Edwardian    eraThe    new    beginning    of   th    century    marked    significant    changes    .   ,[]
6,s    saw    decade    herald    a    series    of    inventions         including    automobile         airplane    and    radio    broadcasting.,[]
7,From       to            First    World    War         and    its    aftermath         caused    major    changes    in    power    balance    of    world         destroying    or    transforming    some    of    most    powerful    empires    .    ,[]
8,"``    war    to    end    all    wars   ""  ""   :    World    War    I        –1918              edit         Main    article    :    World    War    IArrest    of    a    suspect    in    Sarajevo    following    Assassination    of    Archduke    Franz    FerdinandThe    First    World    War         or    simply    WWI              termed    ``    Great    War   ""  ""   by    contemporaries         started    in       and    ended    in       .    ","['1918', 'Sarajevo']"
9,"war    and    by    extension    century    as    a    whole    was    ignited    by    Assassination    in    Sarajevo    of    Austro-Hungarian    Empire   "" s""   heir    to    throne         Erzherzog    Franz    Ferdinand         by    Gavrilo    Princip    of    organization    ``    Young    Bosnia        ""  ""   Bosnian    Serbs   "" ""   liberation    movement    .    ","['Gavrilo    Princip    of    ', 'Bosnian', 'Serbs']"
10,This    was    similar    to    how   /11    was    inciting    incident    of   st    century    .                 ,[]
11,Bound    by    Slavic    nationalism    to    help    small    Serbian    state         Russians    came    to    aid    of    Serbs    when    they    were    attacked    .    ,"['Serbian', 'Russians', 'Serbs']"
12,Interwoven    alliances         an    increasing    arms    race         and    old    hatreds    dragged    Europe    into    war    .                 ,"['Interwoven', 'Europe']"
13,"Allies         known    initially    as    ``    Triple    Entente   ""  ""        comprised    British    Empire         France         and    Russia    .    ","['British', 'Russia']"
14,"Germany         Austria-Hungary         Bulgaria         and    later    Ottoman    Empire         were    known    as    ``    Central    Powers   ""  ""   .                              ","['Germany', 'Austria']"
15,In            Russia    ended    hostile    actions    against    Central    Powers    after    fall    of    Tsar    .    ,['Russia']
16,Bolsheviks    negotiated    Treaty    of    Brest-Litovsk    with    Germany         although    it    was    a    huge    cost    to    Russia    .    ,['Russia']
17,In    treaty         Bolshevik    Russia    ceded    Baltic    states    to    Germany         and    its    province    of    Kars    Oblast    in    South    Caucasus    to    Ottoman    Empire    .    ,"['Russia', 'Baltic']"
18,It    also    recognized    independence    of    Ukraine    .                 ,[]
19,Although    Germany    shifted    huge    forces    from    eastern    to    western    front    after    signing    treaty         it    was    unable    to    stop    Allied    advance         especially    with    entrance    of    the United Statesn    troops    in       .                 ,"['Germany', 'Allied']"
20,war    itself    was    also    a    chance    for    combatant    nations    to    show    off    their    military    strength    and    technological    ingenuity    .    ,[]
21,Germans    introduced    machine    gun                      U-boats                 and    deadly    gases    .                 ,['Germans']
22,British    first    used    tank    .                 ,"['British', 'first']"
23,Both    sides    had    a    chance    to    test    out    their    new    aircraft    to    see    if    they    could    be    used    in    warfare    .    ,[]
24,It    was    widely    believed    that    war    would    be    short    .    ,[]
25,Unfortunately         since    trench    warfare    was    best    form    of    defense         advances    on    both    sides    were    very    slow    and    came    at    a    terrible    cost    to    lives    .                 Division    of    Austria-Hungary    after    World    War    IWhen    war    was    finally    over    in            results    would    set    stage    for    next    twenty    years    .    ,"['Austria', 'Hungary']"
26,First    and    foremost         Germans    were    forced    to    sign    Treaty    of    Versailles         forcing    them    to    make    exorbitant    payments    to    repair    damages    caused    during    War    .    ,"['First', 'Germans', 'Versailles         ']"
27,"Many    Germans    felt    these    reparations    were    unfair    because    they    did    not    actually    ``    lose   ""  ""   war    nor    did    they    feel    they    caused    war         see    Stab-in-the-back    legend         .                 ",['Germans']
